Date,Open,High,Low,Close,Volume
2071-07-27,252.0,255.0,247.0,254.75,20341
2071-07-28,265.25,269.0,263.0,268.25,9105
2071-07-29,268.0,269.5,264.25,264.75,8758
2071-07-30,265.0,265.75,259.25,262.25,7877
2071-07-31,262.5,265.0,261.5,261.75,10263
2071-08-01,261.75,261.75,254.0,254.25,13503
2071-08-02,255.5,258.0,250.0,250.25,15623
2071-08-03,250.75,252.0,248.0,248.5,17229
2071-08-04,249.75,256.5,249.0,254.75,19454
2071-08-05,255.5,264.0,255.5,263.75,11218
2071-08-06,263.75,265.5,259.5,260.5,8272
2071-08-07,260.5,267.0,259.0,262.5,13230
2071-08-08,262.25,268.0,259.0,267.75,10779
2071-08-09,268.25,273.5,268.0,270.0,15426
2071-08-10,270.0,272.5,265.5,265.75,12601
2071-08-11,267.25,276.0,266.5,275.25,12065
2071-08-12,274.5,277.5,272.5,277.25,8983
2071-08-13,277.25,278.0,272.0,272.5,7280
2071-08-14,272.0,273.0,268.0,272.25,8319
2071-08-15,272.75,277.0,270.5,276.5,5305
2071-08-16,276.25,282.0,276.25,277.75,9786
2071-08-17,277.0,278.5,272.0,273.75,7487
2071-08-18,272.75,276.0,272.25,275.75,6041
2071-08-19,275.5,281.0,273.5,276.25,6610
2071-08-20,276.25,276.25,272.5,272.75,3928
2071-08-21,274.0,278.0,269.0,269.75,6506
2071-08-22,269.0,283.0,267.5,282.25,11338
2071-08-23,280.0,289.5,279.5,289.0,16786
2071-08-24,288.5,294.5,285.5,294.25,9461
2071-08-25,293.5,297.0,290.0,294.0,9906
2071-08-26,293.75,295.0,279.5,280.25,9799
2071-08-27,280.25,281.25,275.75,276.75,7685
2071-08-28,275.0,281.5,274.5,279.25,6011
2071-08-29,279.25,281.0,273.0,279.5,5045
2071-08-30,279.0,280.5,272.5,274.75,5025
2071-08-31,274.75,276.0,268.0,268.75,8332
2071-09-01,269.0,269.0,265.0,265.75,7296
2071-09-02,265.75,268.0,258.0,258.75,7376
2071-09-03,258.5,261.0,253.0,256.0,6265
2071-09-04,258.0,263.0,256.75,258.75,6583
2071-09-05,258.5,263.5,257.75,262.5,5164
2071-09-06,263.5,264.0,255.0,256.5,5968
2071-09-07,256.0,256.0,250.0,252.25,4862
2071-09-08,263.75,270.5,263.25,269.0,14465
2071-09-09,269.0,270.25,265.5,267.75,9947
2071-09-10,267.25,271.5,266.25,267.5,14010
2071-09-11,267.0,269.5,262.0,265.75,12984
2071-09-12,265.0,265.5,262.0,263.0,11187
2071-09-13,263.5,267.0,259.5,260.0,19642
2071-09-14,259.75,264.0,258.5,263.5,18178
2071-09-15,264.0,266.25,261.75,263.5,24746
2071-09-16,263.0,269.0,262.25,268.0,22542
2071-09-17,267.75,269.5,262.0,264.0,20636
2071-09-18,263.0,266.5,260.0,263.0,18527
2071-09-19,263.25,264.5,260.5,262.0,13643
2071-09-20,262.0,263.0,260.5,262.25,13824
2071-09-21,262.75,265.0,258.5,264.5,19558
2071-09-22,264.5,270.0,261.0,264.0,9920
2071-09-23,264.0,267.5,263.0,267.0,13466
2071-09-24,267.0,273.0,267.0,270.5,19672
2071-09-25,270.5,274.75,270.0,270.5,20382
2071-09-26,270.0,272.0,258.0,260.5,27302
2071-09-27,261.0,264.75,260.5,262.75,12922
