run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_066,0.25,0.75,0.5,0.3,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_067,0.25,0.75,0.5,0.4,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_068,0.25,0.75,0.5,0.5,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_069,0.25,0.75,0.6,0.2,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_070,0.25,0.75,0.6,0.3,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_071,0.25,0.75,0.6,0.4,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_072,0.25,0.75,0.6,0.5,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
run_20260314_IS_073,0.25,0.75,0.7,0.2,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_074,0.25,0.75,0.7,0.3,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_075,0.25,0.75,0.7,0.4,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_076,0.25,0.75,0.7,0.5,-0.9322904032832978,-0.9026311815241987,5.86552217453505,906190.4560000002,0
run_20260314_IS_077,0.25,0.75,0.8,0.2,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_078,0.25,0.75,0.8,0.3,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_079,0.25,0.75,0.8,0.4,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_080,0.25,0.75,0.8,0.5,-0.9329077964370891,-0.9035933426515477,5.86552217453505,905345.1584,0
run_20260314_IS_081,0.25,0.8,0.5,0.2,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_082,0.25,0.8,0.5,0.3,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_083,0.25,0.8,0.5,0.4,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_084,0.25,0.8,0.5,0.5,-0.9314350162424729,-0.9012180662919138,5.86552217453505,907343.6238000004,0
run_20260314_IS_085,0.25,0.8,0.6,0.2,-0.9318617443074385,-0.9019242467054952,5.86552217453505,906771.5060000003,0
