Index,Open,High,Low,Close,Volume
2071-12-26,98.5625,99.0625,98.5,99.046898,91858
2071-12-27,99.296898,99.859398,99.265602,99.828102,154905
2071-12-28,99.828102,99.859398,99.343803,99.406197,95517
2071-12-29,99.265602,99.406197,98.875,98.875,153652
2071-12-30,98.859398,98.890602,98.328102,98.343803,124189
2071-12-31,98.375,98.875,98.281197,98.8125,135614
2072-01-01,98.703102,98.765602,97.953102,98.0625,138175
2072-01-02,98.156197,98.5,98.156197,98.5,52382
2072-01-03,98.593803,98.671898,97.9375,97.968803,105261
2072-01-04,97.859398,97.984398,97.718803,97.765602,131715
2072-01-05,97.8125,97.968803,97.531197,97.765602,146955
2072-01-06,97.703102,98.234398,97.640602,97.781197,146955
2072-01-07,97.875,97.875,97.515602,97.671898,68443
2072-01-08,97.671898,97.843803,97.296898,97.3125,104294
2072-01-09,97.218803,97.328102,96.796898,96.9375,128146
2072-01-10,96.859398,97.4375,96.484398,97.406197,161997
2072-01-11,97.5625,97.718803,97.296898,97.359398,95087
2072-01-12,97.281197,97.5,97.0,97.0625,130967
2072-01-13,97.015602,97.109398,96.765602,96.9375,131393
2072-01-14,96.875,97.1875,96.75,96.8125,107101
2072-01-15,96.875,97.031197,96.8125,96.8125,94487
2072-01-16,96.890602,96.921898,96.5,96.796898,102335
2072-01-17,96.75,96.890602,96.593803,96.6875,88648
2072-01-18,96.75,97.171898,96.703102,97.140602,141647
2072-01-19,97.218803,97.765602,97.1875,97.6875,144394
2072-01-20,97.671898,98.359398,97.515602,98.343803,223925
2072-01-21,98.1875,98.265602,97.968803,98.140602,100727
2072-01-22,98.125,98.406197,97.984398,98.3125,142221
2072-01-23,98.203102,98.656197,98.171898,98.468803,147895
2072-01-24,98.5625,98.953102,98.546898,98.890602,156437
2072-01-25,98.796898,99.390602,98.75,99.140602,189988
2072-01-26,99.031197,99.1875,99.015602,99.109398,79160
2072-01-27,99.0,99.0625,98.8125,98.906197,108817
2072-01-28,98.890602,98.968803,98.390602,98.671898,108817
2072-01-29,99.078102,99.328102,99.015602,99.25,104820
2072-01-30,99.203102,99.296898,99.156197,99.265602,62561
2072-01-31,99.171898,99.375,98.765602,98.859398,106131
2072-02-01,98.671898,98.6875,98.328102,98.359398,137777
2072-02-02,98.171898,98.375,98.046898,98.218803,130121
2072-02-03,98.296898,98.343803,98.031197,98.171898,94199
2072-02-04,98.031197,98.078102,97.921898,98.0625,82531
2072-02-05,97.9375,98.093803,97.921898,98.0625,105692
2072-02-06,97.953102,98.1875,97.843803,98.140602,152674
2072-02-07,97.828102,97.843803,97.375,97.4375,148056
2072-02-08,97.484398,97.765602,97.468803,97.703102,121249
2072-02-09,97.3125,97.375,97.140602,97.281197,10281
2072-02-10,97.109398,97.3125,97.093803,97.093803,16094
2072-02-11,97.109398,97.578102,97.0,97.546898,11859
2072-02-12,97.125,97.734398,97.125,97.734398,11979
2072-02-13,97.671898,98.0625,97.671898,98.0625,6559
2072-02-14,97.5625,97.593803,97.125,97.578102,5765
2072-02-15,97.125,97.328102,97.0625,97.328102,8589
2072-02-16,96.875,96.875,96.859398,96.875,10143
2072-02-17,96.875,97.0,96.765602,96.828102,11017
2072-02-18,96.421898,96.421898,96.390602,96.390602,15150
2072-02-19,96.406197,96.593803,96.281197,96.281197,3033
2072-02-20,96.234398,96.328102,96.234398,96.234398,7965
2072-02-21,96.234398,96.4375,96.109398,96.109398,4728
2072-02-22,96.203102,96.203102,96.156197,96.203102,2490
2072-02-23,96.156197,96.218803,96.0,96.0,3162
2072-02-24,96.046898,96.171898,96.015602,96.156197,954
2072-02-25,96.218803,96.281197,96.093803,96.265602,2414
2072-02-26,94.9375,95.593803,94.718803,95.5625,7017
2072-02-27,95.546898,95.765602,94.875,94.875,17816
2072-02-28,94.875,95.234398,94.843803,95.203102,20149
2072-02-29,95.25,95.578102,95.203102,95.578102,21717
2072-03-01,95.546898,95.546898,95.296898,95.343803,16660
2072-03-02,95.343803,95.406197,94.5625,94.5625,8877
2072-03-03,94.656197,94.75,94.375,94.390602,18727
2072-03-04,94.390602,95.015602,94.359398,95.015602,22239
2072-03-05,95.0,95.281197,94.609398,94.609398,19195
2072-03-06,94.578102,94.718803,94.125,94.125,3462
2072-03-07,94.156197,94.343803,94.0,94.343803,11966
2072-03-08,94.343803,94.406197,94.0,94.0625,18630
2072-03-09,94.031197,94.171898,93.718803,93.984398,5044
2072-03-10,94.031197,94.5625,94.0,94.5625,27297
2072-03-11,94.609398,94.718803,94.421898,94.484398,10518
