run_dir,p_ema_short,p_ema_long,p_hurst_min_soft,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260313_IS_040,10,60,0.6,1.1938752978597411,1.6894732459146906,50.92989985693848,1411511.2368451385,0
run_20260313_IS_041,10,70,0.4,0.9157043874748335,1.4905901371756891,47.92560801144492,1408105.1878579669,0
run_20260313_IS_042,10,70,0.45,0.9158708654977092,1.490760684998742,47.92560801144492,1391691.1158443764,0
run_20260313_IS_043,10,70,0.5,0.9160867050662062,1.4909811520294132,47.92560801144492,1371982.0038082432,0
run_20260313_IS_044,10,70,0.55,0.916384402448762,1.4912858330960153,47.92560801144492,1347878.8681722153,0
run_20260313_IS_045,10,70,0.6,0.9168072331156933,1.4917185357444995,47.92560801144492,1317670.772720527,0
run_20260313_IS_046,10,80,0.4,-0.8647213106911698,-0.7319552412187049,5.285714285714286,972207.6366526,0
run_20260313_IS_047,10,80,0.45,-0.8643044127921591,-0.7313581741596158,5.285714285714286,973383.7668823998,0
run_20260313_IS_048,10,80,0.5,-0.8637253811067694,-0.7305241305293885,5.285714285714286,974797.699317,0
run_20260313_IS_049,10,80,0.55,-0.8629240029466679,-0.7293646204396358,5.285714285714286,976527.772368,0
run_20260313_IS_050,10,80,0.6,-0.8617573006780572,-0.7276753036894325,5.285714285714286,978691.6807924,0
run_20260313_IS_051,12,40,0.4,-0.9281546190245002,-0.9018785245113944,5.285714285714286,958458.7903149936,0
run_20260313_IS_052,12,40,0.45,-0.9284601860402839,-0.90230169266635,5.285714285714286,960136.9376757421,0
run_20260313_IS_053,12,40,0.5,-0.9288620561089745,-0.9028527270531086,5.285714285714286,962152.1839280383,0
run_20260313_IS_054,12,40,0.55,-0.9294095029299981,-0.9036020300934479,5.285714285714286,964620.5391830716,0
run_20260313_IS_055,12,40,0.6,-0.9302084099639348,-0.9046839839563738,5.285714285714286,967713.4085121725,0
run_20260313_IS_056,12,50,0.4,-0.0794782780491984,0.5508207728083736,26.895565092989987,995819.1055926778,0
run_20260313_IS_057,12,50,0.45,-0.07538628749658065,0.5533882860760791,26.895565092989987,996186.7603201438,0
run_20260313_IS_058,12,50,0.5,-0.0699808536099118,0.5567527673127548,26.895565092989987,996629.8138513309,0
run_20260313_IS_059,12,50,0.55,-0.06271587997906225,0.5612517665468664,26.895565092989987,997166.3113800001,0
