"Index","Open","High","Low","Close","Volume"
2076-01-14,101.6953125,101.6953125,101.640625,101.671875,67474
2076-01-15,101.6640625,101.765625,101.65625,101.6875,150576
2076-01-16,101.6953125,101.6953125,101.4765625,101.5078125,165711
2076-01-17,101.484375,101.5078125,101.3828125,101.4453125,131491
2076-01-18,101.4453125,101.5,101.3984375,101.4140625,70390
2076-01-19,101.40625,101.421875,101.3515625,101.375,104809
2076-01-20,101.3828125,101.4140625,101.34375,101.3515625,87779
2076-01-21,101.3515625,101.3671875,101.328125,101.34375,47033
2076-01-22,101.3359375,101.3515625,101.25,101.2734375,102095
2076-01-23,101.25,101.3125,101.2109375,101.2265625,73588
2076-01-24,101.21875,101.25,101.203125,101.2109375,66260
2076-01-25,101.2109375,101.296875,101.2109375,101.234375,120385
2076-01-26,101.234375,101.265625,101.1640625,101.1796875,70598
2076-01-27,101.1796875,101.34375,101.125,101.3125,128173
2076-01-28,101.34375,101.40625,101.28125,101.390625,149489
2076-01-29,101.3828125,101.390625,101.34375,101.3671875,38735
2076-01-30,101.359375,101.421875,101.203125,101.234375,130742
2076-01-31,101.2421875,101.296875,101.2265625,101.28125,77237
2076-02-01,101.28125,101.421875,101.2734375,101.359375,109151
2076-02-02,101.3671875,101.375,101.328125,101.359375,43411
2076-02-03,101.3671875,101.4140625,101.34375,101.390625,100273
2076-02-04,101.390625,101.3984375,101.3203125,101.375,95520
2076-02-05,101.375,101.4609375,101.3515625,101.4453125,136800
2076-02-06,101.46875,101.5390625,101.4453125,101.5234375,144500
2076-02-07,101.53125,101.546875,101.421875,101.4765625,82844
2076-02-08,101.46875,101.4765625,101.3359375,101.3515625,140082
2076-02-09,101.3515625,101.5078125,101.234375,101.4921875,246450
2076-02-10,101.4921875,101.6171875,101.4453125,101.5859375,141097
2076-02-11,101.59375,101.65625,101.5390625,101.5546875,112268
2076-02-12,101.546875,101.796875,101.5078125,101.5390625,81687
2076-02-13,101.5390625,101.59375,101.484375,101.5,129963
2076-02-14,101.5,101.6015625,101.4609375,101.5625,116392
2076-02-15,101.578125,101.6328125,101.546875,101.578125,92607
2076-02-16,101.6015625,101.7265625,101.5390625,101.71875,155780
2076-02-17,101.71875,101.75,101.671875,101.734375,92597
2076-02-18,101.734375,101.7734375,101.671875,101.75,139488
2076-02-19,101.7578125,101.8046875,101.71875,101.75,100756
2076-02-20,101.75,101.765625,101.6640625,101.7109375,131886
2076-02-21,101.6875,101.875,101.671875,101.8359375,170904
2076-02-22,101.828125,101.8359375,101.75,101.765625,69447
2076-02-23,101.765625,101.8515625,101.71875,101.828125,107015
2076-02-24,101.828125,101.859375,101.796875,101.828125,94535
2076-02-25,101.828125,101.8828125,101.7578125,101.8125,89648
2076-02-26,101.8046875,101.8125,101.7109375,101.7265625,82105
2076-02-27,101.703125,101.703125,101.6328125,101.640625,69701
2076-02-28,101.640625,101.7890625,101.625,101.7578125,92530
2076-02-29,101.7578125,101.8984375,101.7421875,101.8828125,115425
2076-03-01,101.8828125,101.9453125,101.828125,101.84375,116367
2076-03-02,101.84375,101.8984375,101.8203125,101.8828125,66776
2076-03-03,101.890625,101.9296875,101.8671875,101.8984375,48712
2076-03-04,101.8984375,101.9375,101.875,101.8984375,120774
2076-03-05,101.8984375,101.8984375,101.828125,101.890625,146713
2076-03-06,101.890625,101.9140625,101.859375,101.875,132094
2076-03-07,101.8828125,101.9296875,101.859375,101.90625,71910
2076-03-08,101.9140625,101.9140625,101.859375,101.8671875,173256
2076-03-09,101.875,101.8984375,101.75,101.8828125,293243
2076-03-10,101.890625,101.9609375,101.8671875,101.9375,255856
2076-03-11,101.9609375,102.0234375,101.9296875,102.015625,101344
2076-03-12,102.1796875,102.2109375,102.09375,102.203125,131827
2076-03-13,102.1875,102.1875,102.1171875,102.1328125,80256
2076-03-14,102.1328125,102.140625,102.03125,102.0859375,127593
2076-03-15,102.0859375,102.109375,102.03125,102.0703125,78583
2076-03-16,102.078125,102.1328125,102.0625,102.109375,70197
2076-03-17,102.0703125,102.1015625,102.0078125,102.0390625,78111
2076-03-18,102.0234375,102.0703125,101.984375,102.0546875,94326
2076-03-19,102.0625,102.1171875,102.046875,102.09375,90408
2076-03-20,102.1015625,102.1640625,102.015625,102.0390625,112327
2076-03-21,102.0234375,102.0859375,101.953125,101.9609375,129063
2076-03-22,101.953125,101.96875,101.859375,101.921875,111932
2076-03-23,101.9140625,102.09375,101.890625,102.078125,123072
