dataset,asset,rows,start_date,end_date,close_start,close_end,total_return,mean_daily_log_return,annualized_volatility,min_close,max_close,avg_volume,missing_close,missing_volume
PART3,08,1000,2075-05-31,2078-02-23,111.78125,116.265625,0.04011741682974557,3.9372980558855645e-05,0.07245726247979839,104.078125,128.0,924008.092,0,0
PART3,09,1000,2075-05-31,2078-02-23,116.4375,118.23438,0.015432141706924307,1.532960686879593e-05,0.1058808659179066,105.34375,141.42188,317274.124,0,0
PART3,10,1000,2075-05-31,2078-02-23,339.75,535.5,0.576158940397351,0.00045544628313968734,0.37752850264798116,306.75,1282.5,43866.661,0,0
PART123,01,3000,2069-12-08,2078-02-23,25.11,36.02,0.434488251692553,0.00012030949202344539,0.266442622897604,14.41,70.82,17209.476,0,0
PART123,02,3000,2069-12-08,2078-02-23,367.5,356.5,-0.029931972789115635,-1.0133070623053527e-05,0.290194726211633,174.75,768.25,72063.90266666666,0,0
PART123,03,3000,2069-12-08,2078-02-23,0.7288,0.8709,0.19497804610318337,5.939573649648031e-05,0.08908152478564396,0.6203,1.0837,20549.817666666666,0,0
PART123,04,3000,2069-12-08,2078-02-23,22.05,69.31,2.143310657596372,0.0003818861600657027,0.4204186899094972,10.72,145.29,118932.52066666666,0,0
PART123,05,3000,2069-12-08,2078-02-23,86.69,79.875,-0.07861345022493937,-2.7300975052634793e-05,0.087302743094253,71.54,121.21,2619.2273333333333,0,0
PART123,06,3000,2069-12-08,2078-02-23,5.077,13.76,1.710261965727792,0.00033245925193062215,0.3160188003628725,4.028,20.785,16082.118666666667,0,0
PART123,07,3000,2069-12-08,2078-02-23,99.1875,108.2265625,0.09113106490233136,2.9081304585407567e-05,0.023814503720876234,98.1561966,109.3046875,68072.404,0,0
PART123,08,3000,2069-12-08,2078-02-23,96.093803,116.265625,0.20991803186309532,6.353871792335182e-05,0.07078022678504,92.843803,128.0,465100.58033333335,0,0
PART123,09,3000,2069-12-08,2078-02-23,88.625,118.23438,0.3340973765867419,9.611701926356937e-05,0.10469248144014767,85.125,141.42188,268310.55433333333,0,0
PART123,10,3000,2069-12-08,2078-02-23,454.5,535.5,0.17821782178217815,5.4685887385884144e-05,0.3084133295223562,233.5,1282.5,28710.390666666666,0,0
